Song ID,Run,Type,To Be Replaced,Correct Term
song-58,run2,evidence,"Coming for the king, that's a far cry, I","Comin' for the king, that's a far cry, I"
song-58,run3,evidence,"Coming for the king, that's a far cry, I","Comin' for the king, that's a far cry, I"
song-63,run1,evidence,And then I let him go,and then I let him go
song-63,run2,evidence,And then I let him go,and then I let him go
song-63,run3,evidence,And then I let him go,and then I let him go
song-64,run1,evidence,And that red dress brings me to my knees,and that red dress brings me to my knees
song-64,run1,evidence,If I never get to build my mansion in Georgia,if I never get to build my mansion in Georgia
song-64,run2,evidence,Baby last night was hands down one of the best nights,Baby last night was hands down\nOne of the best nights
song-64,run2,evidence,Between the bottle of wine and the look in your eyes and the Marvin Gaye,Between the bottle of wine\nAnd the look in your eyes and the Marvin Gaye
song-64,run2,evidence,But that black dress makes it hard to breathe,but that black dress makes it hard to breathe
song-64,run3,evidence,Baby last night was hands down one of the best nights,Baby last night was hands down\nOne of the best nights
song-64,run3,evidence,Between the bottle of wine and the look in your eyes and the Marvin Gaye,Between the bottle of wine\nAnd the look in your eyes and the Marvin Gaye
song-64,run3,evidence,But that black dress makes it hard to breathe,but that black dress makes it hard to breathe
song-65,run3,evidence,Jump all them Jordans,jump all them Jordans
song-79,run1,evidence,I bet these memories follow you around,I bet these memories\nFollow you around
song-86,run1,evidence,He knows dirty secrets that I keep,He knows\nDirty secrets that I keep
song-90,run1,evidence,"Any car, any house\nBaby you can get like any ring, anything","any car, any house\nBaby you can get like any ring, anything"
song-90,run1,evidence,"Baby the cars on decline\nYou roll with me, you miss shine","baby the cars on decline\nYou roll with me, you miss shine"
song-90,run2,evidence,"Any car, any house\nBaby you can get like any ring, anything","any car, any house\nBaby you can get like any ring, anything"
song-90,run2,evidence,Baby the cars on decline,baby the cars on decline
song-90,run2,evidence,You don't have to worry 'bout a thing,You don't have to worry ‘bout a thing
song-90,run3,evidence,"'Cause I may not know you, just let me hold you","‘Cause I may not know you, just let me hold you"
song-90,run3,evidence,"Any car, any house\nBaby you can get like any ring, anything","any car, any house\nBaby you can get like any ring, anything"
song-90,run3,evidence,Baby the cars on decline,baby the cars on decline
song-90,run3,evidence,"You be my soldier, and you from the 'Nolia","You be my soldier, and you from the ‘Nolia"
song-92,run1,evidence,All my diamonds shine 'cause they really diamonds,All my diamonds shine ‘cause they really diamonds
song-92,run1,evidence,I look like I been ballin' 'cause I'm really ballin',I look like I been ballin' ‘cause I'm really ballin'
song-92,run2,evidence,All my diamonds shine 'cause they really diamonds,All my diamonds shine ‘cause they really diamonds
song-92,run2,evidence,I look like I been ballin' 'cause I'm really ballin',I look like I been ballin' ‘cause I'm really ballin'
song-92,run3,evidence,All my diamonds shine 'cause they really diamonds,All my diamonds shine ‘cause they really diamonds
song-92,run3,evidence,I look like I been ballin' 'cause I'm really ballin',I look like I been ballin' ‘cause I'm really ballin'
song-92,run3,evidence,I'm shining bright 'cause I'm really grinding,I'm shining bright ‘cause I'm really grinding
song-98,run1,evidence,"Dead niggas with 'em, dead niggas, get 'em","Dead niggas with 'em, dead niggas, get ’em"
song-98,run1,evidence,"Ten niggas with 'em, ten clappin' on 'em","Ten niggas with ’em, ten clappin' on 'em"
song-98,run1,evidence,"Young boy walkin', wishin' for a burner","Young boy walkin’, wishin’ for a burner"
song-98,run2,evidence,"Dead niggas with 'em, dead niggas, get 'em","Dead niggas with 'em, dead niggas, get ’em"
song-98,run2,evidence,"Young boy walkin', wishin' for a burner","Young boy walkin’, wishin’ for a burner"
song-98,run3,evidence,"Dead niggas with 'em, dead niggas, get 'em","Dead niggas with 'em, dead niggas, get ’em"
song-98,run3,evidence,"Ten niggas with 'em, ten clappin' on 'em","Ten niggas with ’em, ten clappin' on 'em"
song-98,run3,evidence,"Young boy walkin', wishin' for a burner","Young boy walkin’, wishin’ for a burner"
song-99,run3,evidence,Hard work forever pays now I see you in a better place,hard work forever pays now I see you in a better place
song-106,run3,evidence,"Sim, armadilha jovem negro com o Ak (rrah)","Sim, dessa forma, armadilha jovem negro com o Ak (rrah)"
song-110,run1,evidence,You made me feel as though I was enough,You made me feel as though\nI was enough
song-110,run2,evidence,You made me feel as though I was enough,You made me feel as though\nI was enough
song-112,run1,keyword,alcohol-and-substance-use,alcohol-and-substance-abuse
song-113,run1,evidence,"Buy my Range, make 'em go insane","Buy my Range, make ‘em go insane"
song-113,run1,evidence,"Tек and beams, go to those extremes","Tek and beams, go to those extremes"
song-113,run2,evidence,"Buy my Range, make 'em go insane","Buy my Range, make ‘em go insane"
song-113,run2,evidence,"Tек and beams, go to those extremes","Tek and beams, go to those extremes"
song-113,run3,evidence,"Buy my Range, make 'em go insane","Buy my Range, make ‘em go insane"
song-120,run3,keyword,manipulation,**REMOVE**
song-128,run2,evidence,So she tries to cover up her pain,"So, she tries to cover up her pain"
song-128,run3,evidence,So she tries to cover up her pain,"So, she tries to cover up her pain"
song-129,run1,evidence,"It's the lightness in the air\nWhen you're there, chest to chest with a lover","it's the lightness in the air\nWhen you're there, chest to chest with a lover"
song-129,run2,evidence,"It's the lightness in the air\nWhen you're there, chest to chest with a lover","it's the lightness in the air\nWhen you're there, chest to chest with a lover"
song-129,run3,evidence,"It's the lightness in the air\nWhen you're there, chest to chest with a lover","it's the lightness in the air\nWhen you're there, chest to chest with a lover"
song-136,run2,keyword,reputation-and-gossess,reputation-and-gossip
song-141,run1,keyword,sacrifice,**REMOVE**
song-141,run2,keyword,sacrifice-and-surrender,**REMOVE**
song-143,run1,evidence,Second chance you'll never get,second chance you'll never get
song-143,run2,evidence,Second chance you'll never get,second chance you'll never get
song-143,run3,evidence,Second chance you'll never get,second chance you'll never get
song-146,run3,evidence,Wanna leave my own life behind,wanna leave my own life behind
song-148,run1,evidence,"Aw, this the strip club anthem, nigga, what's up?","Aw, this the strip club anthem, nigga, what’s up?"
song-148,run2,evidence,"Aw, this the strip club anthem, nigga, what's up?","Aw, this the strip club anthem, nigga, what’s up?"
song-148,run3,evidence,"Aw, this the strip club anthem, nigga, what's up?","Aw, this the strip club anthem, nigga, what’s up?"
song-156,run1,evidence,Killings on the way,killings on the way
song-156,run1,evidence,Sleepin' in a villa,sleepin' in a villa
song-156,run2,evidence,Sleepin' in a villa,sleepin' in a villa
song-156,run3,evidence,Pessimists never struck my nerve,pessimists never struck my nerve
song-156,run3,evidence,Sleepin' in a villa,sleepin' in a villa
song-159,run1,evidence,Cleansing my soul of addiction for now,Cleansin' my soul of addiction for now
song-159,run1,evidence,Tension\nBetween us just like picket fences,tension\nBetween us just like picket fences
song-159,run2,evidence,Cleansing my soul of addiction for now,Cleansin' my soul of addiction for now
song-159,run2,evidence,Tension\nBetween us just like picket fences,tension\nBetween us just like picket fences
song-159,run3,evidence,Cleansing my soul of addiction for now,Cleansin' my soul of addiction for now
song-159,run3,evidence,Tension\nBetween us just like picket fences,tension\nBetween us just like picket fences
song-161,run1,evidence,"Some things, only God can forgive","some things, only God can forgive"
song-161,run2,evidence,"Some things, only God can forgive","some things, only God can forgive"
song-161,run3,evidence,"Some things, only God can forgive","some things, only God can forgive"
song-162,run1,evidence,Back the fuck up off me,back the fuck up off me
song-162,run2,evidence,Back the fuck up off me,back the fuck up off me
song-162,run3,evidence,Back the fuck up off me,back the fuck up off me
song-165,run3,evidence,"What if I hurt you, what if I leave you","what if I hurt you, what if I leave you"
song-172,run2,evidence,Bitch can't stop me,bitch can't stop me
song-175,run2,evidence,But how you called the cops on me my nig? You grew up with me,But how you called the cops on me my nig?\nYou grew up with me
song-175,run3,evidence,But how you called the cops on me my nig? You grew up with me,But how you called the cops on me my nig?\nYou grew up with me
song-177,run1,evidence,All she wear is red bottom heels,all she wear is red bottom heels
song-177,run2,evidence,All she wear is red bottom heels,all she wear is red bottom heels
song-177,run3,evidence,All she wear is red bottom heels,all she wear is red bottom heels
song-184,run1,evidence,I do what I want 'cause I'm signed to me,I do what I want ‘cause I'm signed to me
song-184,run2,evidence,I do what I want 'cause I'm signed to me,I do what I want ‘cause I'm signed to me
song-184,run3,evidence,I do what I want 'cause I'm signed to me,I do what I want ‘cause I'm signed to me
song-187,run1,evidence,"Half of my heart is in Havana, ooh-na-na (ayy)","Half of my heart is in Havana, ooh-na-na (ayy"
song-187,run1,evidence,He said there's a lot of girls I can do with,He said there’s a lot of girls I can do with
song-187,run2,evidence,"Half of my heart is in Havana, ooh-na-na (ayy)","Half of my heart is in Havana, ooh-na-na (ayy"
song-187,run2,evidence,He said there's a lot of girls I can do with,He said there’s a lot of girls I can do with
song-187,run3,evidence,"Half of my heart is in Havana, ooh-na-na (ayy)","Half of my heart is in Havana, ooh-na-na (ayy"
song-187,run3,evidence,"Half of my heart is in Havana, ooh-na-na (ayy)\nHe took me back to East Atlanta, oh-na-na-na","Half of my heart is in Havana, ooh-na-na (ayy, ayy)\nHe took me back to East Atlanta, oh-na-na-na"
song-187,run3,evidence,He said there's a lot of girls I can do with,He said there’s a lot of girls I can do with
song-188,run1,evidence,Aren't we too grown to mess around? Yeah,Are we too grown to mess around? Yeah
song-188,run2,evidence,Aren't we too grown to mess around? Yeah,Are we too grown to mess around? Yeah
song-188,run3,evidence,Aren't we too grown to mess around? Yeah,Are we too grown to mess around? Yeah
song-189,run1,evidence,"So fuckin' done with you, girl","so fuckin' done with you, girl"
song-189,run2,evidence,Breaking glass on my Range Rover,breaking glass on my Range Rover
song-189,run2,evidence,"So fuckin' done with you, girl","so fuckin' done with you, girl"
song-189,run3,evidence,"So fuckin' done with you, girl","so fuckin' done with you, girl"
song-194,run2,evidence,My heart's been hurt a couple times,my heart's been hurt a couple times
song-194,run3,evidence,"Ain't gon' lie, ain't gon' lie","ain't gon' lie, ain't gon' lie"
song-194,run3,evidence,My heart's been hurt a couple times,my heart's been hurt a couple times
song-195,run1,evidence,Don't act like you my friend when I'm rollin' through my end zone,Don’t act like you my friend when I'm rollin' through my end zone
song-195,run2,evidence,Don't act like you my friend when I'm rollin' through my end zone,Don’t act like you my friend when I'm rollin' through my end zone
song-195,run3,evidence,Don't act like you my friend when I'm rollin' through my end zone,Don’t act like you my friend when I'm rollin' through my end zone
song-195,run3,evidence,Got diamonds by the boatload,got diamonds by the boatload
song-207,run1,evidence,"Just one hit of you, I knew I'll never ever, ever be the same","Just one hit of you, I knew I’ll never ever, ever be the same"
song-207,run2,evidence,"Just one hit of you, I knew I'll never ever, ever be the same","Just one hit of you, I knew I’ll never ever, ever be the same"
song-207,run3,evidence,"Just one hit of you, I knew I'll never ever, ever be the same","Just one hit of you, I knew I’ll never ever, ever be the same"
song-210,run1,evidence,"I just gotta tell you how I feel, look","Just gotta tell you how I feel, look"
song-210,run3,evidence,"I just gotta tell you how I feel, look","Just gotta tell you how I feel, look"
song-211,run1,evidence,Pull up with that Draco (huh?) / Play with Drake and I'ma shoot (that's on my mama),pull up with that Draco (huh?)\nPlay with Drake and I'ma shoot (that's on my mama
song-211,run3,evidence,"Pull up broad day with a K, now he shiverin' (he shiverin')","pull up broad day with a K, now he shiverin' (he shiverin')"
song-211,run3,evidence,Pull up with that Draco (huh?) / Play with Drake and I'ma shoot (that's on my mama),pull up with that Draco (huh?)\nPlay with Drake and I'ma shoot (that's on my mama
song-216,run2,evidence,Fuck what a nigga say,fuck what a nigga say
song-217,run1,evidence,Let's put my fake face on and pretend now,let's put my fake face on and pretend now
song-217,run3,evidence,Let's put my fake face on and pretend now,let's put my fake face on and pretend now
song-218,run1,evidence,Pussy poppin' on the charts,Pussy poppin’ on the charts
song-218,run2,evidence,Pussy poppin' on the charts,Pussy poppin’ on the charts
song-218,run3,evidence,Pussy poppin' on the charts,Pussy poppin’ on the charts
song-219,run1,evidence,Come through rockin' fashions,come through rockin' fashions
song-219,run2,evidence,"Come through rockin' fashions\nThat got all these bitches like ""Yo, what's that?""","come through rockin' fashions\nThat got all these bitches like ""Yo, what's that?"""
song-219,run3,evidence,Come through rockin' fashions,come through rockin' fashions
song-223,run1,evidence,So I'm just a dead man crawling tonight,So I’m just a dead man crawling tonight
song-223,run1,evidence,"So who you've been calling, baby? Nobody could take my place","So who you’ve been calling, baby? Nobody could take my place"
song-223,run2,evidence,So I'm just a dead man crawling tonight,So I’m just a dead man crawling tonight
song-223,run2,evidence,"So who you've been calling, baby? Nobody could take my place","So who you’ve been calling, baby? Nobody could take my place"
song-223,run2,evidence,You used to call me baby now you're calling me by name,you used to call me baby now you're calling me by name
song-223,run3,evidence,So I'm just a dead man crawling tonight,So I’m just a dead man crawling tonight
song-223,run3,evidence,"So who you've been calling, baby? Nobody could take my place","So who you’ve been calling, baby? Nobody could take my place"
song-223,run3,evidence,You used to call me baby now you're calling me by name,you used to call me baby now you're calling me by name
song-226,run1,evidence,"She left me with a broken heart, yeah","she left me with a broken heart, yeah"
song-226,run3,evidence,"She left me with a broken heart, yeah","she left me with a broken heart, yeah"
song-227,run1,evidence,If I gotta be sacrificed for the greater good\nThen that's what it gotta be,if I gotta be sacrificed for the greater good\nThen that's what it gotta be
song-227,run2,evidence,If I gotta be sacrificed for the greater good\nThen that's what it gotta be,if I gotta be sacrificed for the greater good\nThen that's what it gotta be
song-228,run1,evidence,And I gotta convince myself I don't want it even though I do,And I gotta convince myself I don’t want it even though I do
song-228,run2,evidence,And I gotta convince myself I don't want it even though I do,And I gotta convince myself I don’t want it even though I do
song-228,run3,evidence,And I gotta convince myself I don't want it even though I do,And I gotta convince myself I don’t want it even though I do
song-228,run3,evidence,Overthinking every word and I hate it 'cause it's not me,Overthinking every word and I hate it 'cause it’s not me
song-229,run2,evidence,"Checks over stripes, that's what I like",Checks over stripes (yeah)\nThat's what I like
song-229,run3,evidence,"Checks over stripes, that's what I like",Checks over stripes (yeah)\nThat's what I like
song-230,run2,evidence,"Take my shoes and walk a mile, Something that you can't do",Take my shoes and walk a mile\nSomething that you can't do
song-230,run2,evidence,"Think it came with stripes, But you ain't straight with the gang",Think it came with stripes\nBut you ain't straight with the gang
song-230,run3,evidence,"I bought a 'Plain Jane' Rollie, These niggas bought they fame",I bought a 'Plain Jane' Rollie\nThese niggas bought they fame
song-230,run3,evidence,Quadruple the profit (Profit),quadruple the profit (Profit)
song-230,run3,evidence,"Take my shoes and walk a mile, Something that you can't do",Take my shoes and walk a mile\nSomething that you can't do
song-230,run3,evidence,"Think it came with stripes, But you ain't straight with the gang (Gang, gang!)","Think it came with stripes\nBut you ain't straight with the gang (Gang, gang"
song-232,run1,evidence,"What the fuck is love with no pain, no suffer","what the fuck is love with no pain, no suffer"
song-232,run2,evidence,She gon' ride for me until this thing over,she gon' ride for me until this thing over
song-232,run2,evidence,We'd both go crazy (crazy) if we was to sever,we'd both go crazy (crazy) if we was to sever
song-232,run2,evidence,"What the fuck is love with no pain, no suffer","what the fuck is love with no pain, no suffer"
song-232,run3,evidence,She gon' ride for me until this thing over,she gon' ride for me until this thing over
song-232,run3,evidence,We'd both go crazy (crazy) if we was to sever,we'd both go crazy (crazy) if we was to sever
song-232,run3,evidence,"What the fuck is love with no pain, no suffer","what the fuck is love with no pain, no suffer"
song-235,run3,evidence,"Ichy Patek, check, yeah, boogers, they sit on my neck (ice)","Icy Patek, check, yeah, boogers, they sit on my neck (ice)"
song-238,run1,evidence,I get 2 million a pop and that's standard for me,I get 2 million a pop and that’s standard for me
song-238,run1,evidence,"I'm a bar spitta, I'm a hard hitta","I'm a bar spitta, I’m a hard hitta"
song-238,run2,evidence,I get 2 million a pop and that's standard for me,I get 2 million a pop and that’s standard for me
song-238,run2,evidence,"I'm a bar spitta, I'm a hard hitta","I'm a bar spitta, I’m a hard hitta"
song-238,run3,evidence,I get 2 million a pop and that's standard for me,I get 2 million a pop and that’s standard for me
song-238,run3,evidence,"I'm a bar spitta, I'm a hard hitta","I'm a bar spitta, I’m a hard hitta"
song-242,run1,evidence,"Fuck 12, I'm a G, ain't no stoppin' me (ain't no stoppin' me)","Fuck 12, I’m a G, ain't no stoppin' me (ain't no stoppin' me)"
song-242,run2,evidence,"Fuck 12, I'm a G, ain't no stoppin' me (ain't no stoppin' me)","Fuck 12, I’m a G, ain't no stoppin' me (ain't no stoppin' me)"
song-242,run3,evidence,"Fuck 12, I'm a G, ain't no stoppin' me (ain't no stoppin' me)","Fuck 12, I’m a G, ain't no stoppin' me (ain't no stoppin' me)"
song-247,run1,evidence,You love it how I move you,you love it how I move you
song-247,run2,evidence,You love it how I move you,you love it how I move you
song-247,run3,evidence,You love it how I move you,you love it how I move you
song-252,run1,evidence,face up 'cause you're a natural,face up 'cause you're a...\n\nNatural
song-252,run2,evidence,Will somebody let me see the light within the dark trees' shadows,Will somebody\nLet me see the light within the dark trees' shadows
song-252,run2,evidence,"Will you hold the line when every one of them is giving up or giving in, tell me","Will you hold the line\nWhen every one of them is giving up or giving in, tell me"
song-252,run2,evidence,You gotta be so cold to make it in this world,You gotta be so cold\nTo make it in this world
song-252,run2,evidence,face up 'cause you're a natural,face up 'cause you're a...\n\nNatural
song-252,run3,evidence,"I can taste it, the end is upon us, I swear gonna make it","I can taste it, the end is upon us, I swear\nGonna make it"
song-252,run3,evidence,Will somebody let me see the light within the dark trees' shadows and,Will somebody\nLet me see the light within the dark trees' shadows and
song-252,run3,evidence,You gotta be so cold to make it in this world,You gotta be so cold\nTo make it in this world
song-252,run3,evidence,face up 'cause you're a natural,face up 'cause you're a...\n\nNatural
song-258,run1,evidence,Every day she found a way out of the window to sneak out late,every day she found a way out of the window to sneak out late
song-258,run2,evidence,Every day she found a way out of the window to sneak out late,every day she found a way out of the window to sneak out late
song-258,run3,evidence,Every day she found a way out of the window to sneak out late,every day she found a way out of the window to sneak out late
song-259,run1,evidence,"Call out my name, and I'll be on my way","call out my name, and I'll be on my way"
song-261,run1,evidence,It's eating me up inside,it's eating me up inside
song-262,run1,evidence,"De mi vida te saqué, yo te saqué","de mi vida te saqué, yo te saqué"
song-262,run1,evidence,Pa'l carajo te mandé; hoy me voy a beber,pa'l carajo te mandé; hoy me voy a beber
song-262,run2,evidence,"De mi vida te saqué, yo te saqué","de mi vida te saqué, yo te saqué"
song-262,run3,evidence,"De mi vida te saqué, yo te saqué","de mi vida te saqué, yo te saqué"
song-263,run1,evidence,It's safe to say it ain't our style,it's safe to say it ain't our style
song-263,run3,evidence,It's safe to say it ain't our style,it's safe to say it ain't our style
song-264,run2,evidence,Once a nigga graduate,once a nigga graduate
song-264,run3,evidence,Once a nigga graduate,once a nigga graduate
song-269,run3,evidence,Cuéntale parte por parte,cuéntale parte por parte
song-271,run1,evidence,You take the bullet tryna save me,you take the bullet tryna save me
song-271,run2,evidence,You take the bullet tryna save me,you take the bullet tryna save me
song-276,run1,evidence,"Big balling like Mutombo, yeah","big balling like Mutombo, yeah"
song-276,run2,evidence,"Just had a ménage, back seat of my Benz","Just had a ménage (hey), back seat of my Benz"
song-276,run3,evidence,"Just had a ménage, back seat of my Benz","Just had a ménage (hey), back seat of my Benz"
song-281,run1,evidence,Maybe it's 'cause I'm wearing your cologne,maybe it's 'cause I'm wearing your cologne
song-281,run3,evidence,Maybe it's 'cause I'm wearing your cologne,maybe it's 'cause I'm wearing your cologne
song-282,run1,evidence,"See the igloo in my mouth when I be grinnin' (I be grinnin'), yeah","See the igloo in my mouth when I be grinnin' (I be grinnin’), yeah"
song-282,run2,evidence,"All the housewives pullin' up (up, up)","All the housewives pullin’ up (up, up)"
song-282,run2,evidence,"See the igloo in my mouth when I be grinnin' (I be grinnin'), yeah","See the igloo in my mouth when I be grinnin' (I be grinnin’), yeah"
song-282,run3,evidence,"See the igloo in my mouth when I be grinnin' (I be grinnin'), yeah","See the igloo in my mouth when I be grinnin' (I be grinnin’), yeah"
song-283,run1,evidence,Breakfast at Tiffany's and bottles of bubbles,breakfast at Tiffany's and bottles of bubbles
song-283,run2,evidence,Breakfast at Tiffany's and bottles of bubbles,breakfast at Tiffany's and bottles of bubbles
song-283,run3,evidence,Breakfast at Tiffany's and bottles of bubbles,breakfast at Tiffany's and bottles of bubbles
song-287,run2,evidence,I've learned from the pain\nTurned out amazing,I've learned from the pain (pain)\nTurned out amazing
song-287,run3,evidence,Look what I got\nLook what you taught me,look what I got\nLook what you taught me
song-291,run1,evidence,But I'm told its where I'm supposed to be,But I’m told its where I’m supposed to be
song-291,run1,evidence,Coz I don't care when I'm with my baby yeah,Coz I don’t care when I’m with my baby yeah
song-291,run1,evidence,Don't think I fit in at this party,Don’t think I fit in at this party
song-291,run1,evidence,I always feel like I'm nobody,I always feel like I’m nobody
song-291,run1,evidence,I can deal with the bad nights when I'm with my baby yeah,I can deal with the bad nights when I’m with my baby yeah
song-291,run1,evidence,I don't like 'bout nobody but you,I don’t like ‘bout nobody but you
song-291,run1,evidence,I'm at a party I don't wanna be at,I’m at a party I don’t wanna be at
song-291,run1,evidence,"With all these people all around, I'm crippled with anxiety","With all these people all around, I’m crippled with anxiety"
song-291,run1,evidence,You can take me anywhere and you making me feel like I'm loved by somebody,You can take me anywhere and you making me feel like I’m loved by somebody
song-291,run2,evidence,But I'm told its where I'm supposed to be,But I’m told its where I’m supposed to be
song-291,run2,evidence,Coz I don't care when I'm with my baby yeah,Coz I don’t care when I’m with my baby yeah
song-291,run2,evidence,Don't think I fit in at this party,Don’t think I fit in at this party
song-291,run2,evidence,I always feel like I'm nobody,I always feel like I’m nobody
song-291,run2,evidence,I can deal with the bad nights when I'm with my baby yeah,I can deal with the bad nights when I’m with my baby yeah
song-291,run2,evidence,I'm at a party I don't wanna be at,I’m at a party I don’t wanna be at
song-291,run2,evidence,"With all these people all around, I'm crippled with anxiety","With all these people all around, I’m crippled with anxiety"
song-291,run2,evidence,You can take me anywhere and you making me feel like I'm loved by somebody,You can take me anywhere and you making me feel like I’m loved by somebody
song-291,run3,evidence,But I'm told its where I'm supposed to be,But I’m told its where I’m supposed to be
song-291,run3,evidence,Coz I don't care when I'm with my baby yeah,Coz I don’t care when I’m with my baby yeah
song-291,run3,evidence,Don't think I fit in at this party,Don’t think I fit in at this party
song-291,run3,evidence,I always feel like I'm nobody,I always feel like I’m nobody
song-291,run3,evidence,I can deal with the bad nights when I'm with my baby yeah,I can deal with the bad nights when I’m with my baby yeah
song-291,run3,evidence,I'm at a party I don't wanna be at,I’m at a party I don’t wanna be at
song-291,run3,evidence,"With all these people all around, I'm crippled with anxiety","With all these people all around, I’m crippled with anxiety"
song-291,run3,evidence,You can take me anywhere and you making me feel like I'm loved by somebody,You can take me anywhere and you making me feel like I’m loved by somebody
song-292,run1,evidence,Lot of Murakami in the hallway (What?),lot of Murakami in the hallway (What?)
song-292,run2,evidence,Lot of Murakami in the hallway (What?),lot of Murakami in the hallway (What?)
song-292,run3,evidence,Lot of Murakami in the hallway (What?),lot of Murakami in the hallway (What?)
song-293,run1,evidence,Ain't it hard keeping it so hardcore?,Ain’t it hard keeping it so hardcore?
song-293,run1,evidence,Aren't you tired tryin' to fill that void?,Aren’t you tired tryin' to fill that void?
song-293,run1,evidence,"Crash through the surface, where they can't hurt us","Crash through the surface, where they can’t hurt us"
song-293,run1,evidence,We're far from the shallow now,We’re far from the shallow now
song-293,run2,evidence,Ain't it hard keeping it so hardcore?,Ain’t it hard keeping it so hardcore?
song-293,run2,evidence,Aren't you tired tryin' to fill that void?,Aren’t you tired tryin' to fill that void?
song-293,run2,evidence,"Crash through the surface, where they can't hurt us","Crash through the surface, where they can’t hurt us"
song-293,run2,evidence,"I'm off the deep end, watch as I dive in","I’m off the deep end, watch as I dive in"
song-293,run2,evidence,We're far from the shallow now,We’re far from the shallow now
song-293,run3,evidence,Ain't it hard keeping it so hardcore?,Ain’t it hard keeping it so hardcore?
song-293,run3,evidence,Aren't you tired tryin' to fill that void?,Aren’t you tired tryin' to fill that void?
song-293,run3,evidence,"Crash through the surface, where they can't hurt us","Crash through the surface, where they can’t hurt us"
song-293,run3,evidence,"I'm off the deep end, watch as I dive in","I’m off the deep end, watch as I dive in"
song-293,run3,evidence,We're far from the shallow now,We’re far from the shallow now
song-297,run3,evidence,That lil' nigga ain't gon' shoot shit with that gun\nHe just pull it out in his pictures,that lil' nigga ain't gon' shoot shit with that gun\nHe just pull it out in his pictures
song-303,run1,evidence,There's no way I could save you\n'Cause I need to be saved too,There's no way I could save you (Save you)\n'Cause I need to be saved too
song-303,run3,evidence,There's no way I could save you\n'Cause I need to be saved too,There's no way I could save you (Save you)\n'Cause I need to be saved too
song-313,run1,evidence,"But I'm 21 4L, ain't no way I'ma switch","But I'm 21 4L, ain’t no way I'ma switch"
song-313,run1,evidence,"Every day that I'm alive, I'ma ride with the stick","Every day that I'm alive, I’ma ride with the stick"
song-313,run1,evidence,It's got to the point that these rappers don't even like rappin' with me,It’s got to the point that these rappers don't even like rappin' with me
song-313,run1,evidence,This is a marathon and I'm aware,This is a marathon and I’m aware
song-313,run2,evidence,"But I'm 21 4L, ain't no way I'ma switch","But I'm 21 4L, ain’t no way I'ma switch"
song-313,run2,evidence,"Every day that I'm alive, I'ma ride with the stick","Every day that I'm alive, I’ma ride with the stick"
song-313,run2,evidence,It's got to the point that these rappers don't even like rappin' with me,It’s got to the point that these rappers don't even like rappin' with me
song-313,run2,evidence,This is a marathon and I'm aware,This is a marathon and I’m aware
song-313,run3,evidence,"But I'm 21 4L, ain't no way I'ma switch","But I'm 21 4L, ain’t no way I'ma switch"
song-313,run3,evidence,"Every day that I'm alive, I'ma ride with the stick","Every day that I'm alive, I’ma ride with the stick"
