歌名,署名,性別,wp/fe 引文,問題(含引文),M1 將女性化約為身體部位與可品評物件,M2 以命令句指揮女性的身體與行為,M3 男性單一視角代言，女性全程無聲,M4 金錢供養與親密關係的交易腳本,M5 性的雙重標準與貞潔敘事,M6 挪用女性賦權語彙並掏空其意涵,M7 架空拒絕與同意,M8 「紅顏禍水」式的歸咎敘事,M9 男性自居評價者、授權者與守門人,M10 單向忠誠要求與占有控制,M11 貶抑其他女性以襯托眼前對象、將女性可替換化,M12 動物化、幼體化與馴服框架,M13 以性征服炫耀男性氣概、將性框架為男性間的較量,F1 厭女詞彙的雙向流通——自稱與攻擊共用同一套貶稱,F2 陰性即侮辱、陽剛即力量的語言階序,F3 以男性為戰利品的女性敵對競爭,F4 男性過錯的責任轉嫁至女性,F5 性—資源交易腳本,F6 消費化的賦權——以財富與奢侈品界定自主與尊重,F7 身體的部位化與商品化自我物化,F8 自主宣言與男性凝視背書的矛盾結構,F9 權力位置的翻轉而非拆解,F10 冷硬無情等於力量的情感規訓,F11 照顧、隱忍與依附的浪漫化,F12 同意界線的模糊與施壓,F13 支配—臣服腳本的情慾化,F14 好女人／壞女人的分類與自我切割,X1 貶抑稱謂的常態化：以「bitch」「hoe」作為女性的預設稱呼,X2 女性被化約為身體部位與性功能,X3 性與親密關係的金錢交易化,X4 所有格宣示與男性間較勁的戰利品邏輯,X5 女性作為可計數、可挑選、可丟棄的可替換品,X6 性同意的消解與性資格感,X7 命令句驅使女性進行性化的身體表演,X8 女聲的自我賦權以貶抑其他女性為代價,X9 以男性為軸心的女女敵對競爭,X10 「陰性＝低劣」的象徵階序,X11 女性犧牲、忍耐與自我消耗的神聖化,X12 男性免責與女性承擔善後,X13 女性失語與男性代言、救世主敘事,X14 女性情緒的病理化與噤聲規訓,X15 女性自我價值錨定於男性凝視與慾望,X16 聖女／蕩婦二分與性的雙重標準
Get Into It (Yuh),Doja Cat,female,"On me, y'all bitches better ""yuh"" like Ariana
Thank you, Nicki, I love you","1. 以女性身體部位（臀部）作為評價、篩選女性的預設標準：即使歌詞表面上說「沒有也無妨」，仍把「有沒有屁股」設定為看待女性的第一判準，將女性化約為可供打量的身體零件，且此句反覆出現、成為整首歌的記憶點。（3/3）——「And if she ain't got a butt (yeah) / Nah, fuck it, get into it, yuh」、「If she ain't got a butt / Fuck it, get into it, yuh」。
2. 使用貶抑女性的詞彙「bitch/bitches」稱呼、壓制其他女性：即便出自女性之口，仍複製了以侮辱性性別語言建立位階、踩著其他女性抬高自己的邏輯。（3/3）——「On me, y'all bitches better ""yuh"" like Ariana」、「Turn that bitch into a soccer ball and rocka, rocka, rocka (brrr)」。
3. 將女性之間的關係描寫為爭奪男人、彼此威嚇與暴力相向：歌詞把其他女性設定為競爭對手，以「搶走妳的男人」作為炫耀與羞辱手段，把男性當成女性較勁的戰利品；同時以肢體暴力的意象威嚇、羞辱對方，甚至把（疑似女性的）對象比作可以任意踢打的足球，將施暴娛樂化，強化「女人為敵」的敘事而非女性團結。（3/3）——「Call your mama and your papa / Like I'm finna take your dadda」、「Turn that bitch into a soccer ball and rocka, rocka, rocka (brrr)」、「If they ever tryna neck, I'll put my foot up in your caca」。
4. 以男性凝視與男性慾望確認自我價值：敘事者的自誇論據是「男人愛我的身體」，把自身魅力化約為被男性慾望的身體，將他人對自己身體的迷戀當作炫耀資本，價值仍由男性目光背書，落入自我物化的框架。（2/3）——「Call him Ed Sheeran, he in love with my body」。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,✓,,,,✓,✓,,,,,,,,✓,,,,,,✓,✓,,,,,,✓,
Get It Sexyy,Sexyy Red,female,"Hair done, bills paid
5'5"", this bitch a ten (Yeah)
Big Sexy blood, love the hoes
Slim thick, caramel skin / 5'5"", this bitch a ten (Yeah)","1. 以「打分數」的方式量化並化約女性價值，將自我認同建立在男性凝視的外貌評比之上，複製以外貌評鑑女性的物化邏輯。（3/3）引文：「Slim thick, caramel skin / 5'5"", this bitch a ten (Yeah)」
2. 反覆使用貶抑女性的詞彙（bitch、hoe）指稱自己與其他女性，文本中未見翻轉脈絡，實質延續將女性貶低為性對象的羞辱性語言並使其正常化。（3/3）引文：「this bitch a ten」、「I'm a big fine hoe」、「Yeah, bitch, I'm go」、「Big Sexy blood, love the hoes」
3. 將自我價值繫於男性的性認可、佔有與追逐：以「他的最愛」的所有格自我定位、以引來多少男人追求作為性感的量尺，並把被眾多男性圍獵式的注視當作魅力的證明來炫示，使性吸引力的裁判權交還給男性，削弱歌中「I ain't lookin' for no man」的自主宣稱。（3/3）引文：「Fuck me good, I'm throwin' that shit back (I'm his favorite hoe)」、「I'm so fuckin' sexy that he'll text (All these niggas on go)」、「I don't know what to do 'cause the niggas after me」、「Diamonds hittin' hard, niggas wanna drive my tank」
4. 將女性身體比擬為供人取用、消費的食物，強化女體＝可食用商品的隱喻，屬典型的自我物化修辭。（3/3）引文：「Walkin' through the club lookin' like a snack (But you knew that though)」
5. 身體與性的描寫以滿足、迎合男性慾望為框架：男方的意願先行、自己「配合允許」，身體展演收窄為臀部、身材與性行為的展示，主體性仍框限在「被觀看、被享用」的位置，整體在男性凝視的框架內運作。（3/3）引文：「Yeah, boy, you know this ass super fat (I ain't lyin', though)」、「He wanna kiss me all over my tats (Uh, uh, uh, uh, I'ma let him, though)」、「Bounce that ass, touch them toes (Uh-huh) / Booty shorts, coochie swoll / Thong all up my booty hole」
6. 對男性作一概而論的本質化描述與敵意不信任（「男人皆會出軌、不可信」），卻仍持續以性關係換取自我肯定，形成「男人皆不可信但仍以男人的慾望自證」的矛盾，以性別刻板框架取代對結構問題的批判，固化兩性對立的性別本質論。（2/3）引文：「Niggas cheaters, they on go / Trust a nigga, that's a no / He can eat my coochie, though」
僅單獨提及：將自身「登上寶座」的地位歸功於男性性器與性能力（「Awesome johnson got me throned」），使女性的尊榮仍由男性的性給予。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,✓,✓,,,,,,,✓,,,,,,,,,,,,,,✓,
Girls Like You,Maroon 5 Featuring Cardi B,mixed,"So who you gonna call? Cardi, Cardi","1. 女性被類型化、工具化為滿足男性需求的可替換對象，其存在價值由男性的「需要」定義，而非具體的個人（3/3）——「I need a girl like you, yeah yeah」、「What I want when I come through / I need a girl like you」。
2. 女性被描繪成繞著男性打轉、配合男性行程而召之即來的角色，一切以男性「現身」的時間與主導權為中心，女性缺乏自身的行動目的（3/3）——「'Cause girls like you run 'round with guys like me / 'Til sun down when I come through」、「What I want when I come through」。
3. 對女性的刻板化通則陳述：把「這類女孩」概括為同質群體並代言其單一特質，隨即只談男性自己要什麼（2/3）——「Girls like you love fun, and yeah, me too / What I want when I come through」。
4. 男方失責、女方收拾殘局的性別分工：男性自承喝醉、行為差勁且對方長期容忍，卻理所當然地由女性承擔照顧、包容與善後的情緒勞動（3/3）——「Maybe you've taken my shit for the last time」、「Maybe I know that I'm drunk」、「Maybe you're thinking it's better if you drive」。
5. 女聲段落對自身性工作經歷的內化污名：把過去跳舞賺錢的經歷框定為見不得家長、上不了檯面的羞恥事（3/3）——「Not too long ago, I was dancing for dollars / No, it's really rude if I let you meet my mama」。
6. 女聲透過貶低其他女性來確立自身價值，複製女性互相競爭以爭取男性的框架，且其價值仍被定義為替男性生活「加味」的調劑品（3/3）——「For every other girl you meet its fugazy」、「I'm sure them other girls were nice enough / But you need someone to spice it up」。
7. 女聲自我貼上「瘋女人」標籤，沿用將女性斥為「瘋狂」的厭女刻板印象（2/3）——「You don't want a girl like me I'm too crazy」。
8. 女性的性被框在「應男性召喚」的結構中：以「你來電」為觸發條件，並把自己的身體比擬為供男性把玩的樂器，性主體性最終仍以男性行動為中心（3/3）——「I need you right here 'cause every time you call / I play with this kitty like you play with your guitar」。
僅單獨提及：女性自我物化為供男性採摘的禁果，延續「女體＝可消費之物」的意象（「Why is the best fruit always forbidden?」）、稱謂上的不對稱——全曲以「girls」對應「guys」，成年女性被幼體化為「女孩」而男性以中性成人稱呼出現。",,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,✓,✓,,,✓,,✓,✓,
God Is A Woman,Ariana Grande,female,"And I can be all the things you told me not to be
You'll believe God is a woman","1. 女性的「神性」與價值被設定為必須經由男性伴侶的「相信」才成立：全曲核心不是「God is a woman」的自我宣告，而是反覆以男性為裁判，把女性力量的最終認證權交還給男性。（3/3）引文：「My one, when all is said and done / You'll believe God is a woman」、「It lingers when we're done / You'll believe God is a woman」。
2. 「神性」的內容幾乎完全被性化、窄化為取悅男性的性能力：說服男性的證據是床笫間帶給對方的感受，複製了「女性價值＝性吸引力／床上表現」的化約框架，而非其完整人格與能動性。（3/3）引文：「You, you love it how I move you / You love it how I touch you」、「And I, I feel it after midnight / A feelin' that you can't fight」、「My one, it lingers when we're done」。
3. 自我價值的佐證仍訴諸男性視角：即便宣稱力量內在於己（「It's all in me」），「我」的宇宙級價值卻以「他看見了什麼」來背書，把男性凝視當作衡量自身價值的鏡子，形成宣稱自主、實則引用男性凝視作證的內在矛盾。（3/3）引文：「And he see the universe when I'm in company」。
4. 賦權與反抗的敘事被鎖定在與單一男性的異性戀親密關係框架內，並透過貶抑其他人、抬高眼前這位男性的「例外的好男人」敘事來確立關係價值：即便有反抗規訓的語句，其「flourishing」最終仍回收到「讓你相信」的求證迴圈，全曲未給出脫離男性伴侶而獨立成立的女性主體圖像。（3/3）引文：「Ain't nobody else can relate / Boy, I like that you ain't afraid」、「But you different from the rest」、「And I can be all the things you told me not to be / When you try to come for me, I keep on flourishing」。
5. 借用宗教語彙將女性置於「施予救贖／賜福」的位置，實則沿用「性是女性用來獎賞男性的籌碼」的守門人套路：表面上女方掌握主導權並考核男性，實際上仍以服務男性靈魂與慾望為軸心，沿用「女性身體是男性表現良好後的獎品」的物化邏輯，只是把發獎者換成女性自己。（3/3）引文：「So, baby, take my hand, save your soul」、「And boy, if you confess, you might get blessed / See if you deserve what comes next」。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,✓,✓,,,,,,,,,,,,,,,,,,,,✓,
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",female,"Cause we are hunters,voices strong
No more hiding, i'll be shining / Like I'm born to be
I was the queen that i'm meant to be",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good As Hell,Lizzo,female,"You know you a star, you can touch the sky
Boss up and change your life
You can have it all, no sacrifice",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greedy,Tate McRae,female,"I would want myself
So sure of yourself / Baby, don't get greedy",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happen To Me,Russell Dickerson,male,"""Girls Just Wanna Have Fun"" at the top of her lungs","1. 敘事者將一位剛分手、情感脆弱且持續飲酒的女性視為可把握的豔遇機會，在她判斷力可能受損的情境下急於「把握每一秒」，淡化了酒精與情感脆弱對知情同意的影響（3/3）：「But she's in here chasing tequila with High Noon」、「Maybe five weeks or five minutes, but it can't be too long」、「Right now I'm taking every second I can take」、「So we keep talking / And we keep drinking」。
2. 全曲以男性凝視與男性經驗為中心，女性無名無姓、沒有自身的故事與內在世界，她的過去與感受被表明為無關緊要，開場即以分手事件而非其自身特質定義她，其存在被化約為「發生在我身上的事件」，是男性情感經驗的客體而非主體（3/3）：「Don't know what happened tonight / Don't know what happened last week / Don't know what happened to her / But she bout to happen to me」、「I don't know who broke up with who」。
3. 套用「紅顏禍水」式的定型敘事，將毫不知情的女性描繪為即將摧毀男性的危險力量，把敘事者自身的慾望與情感責任轉嫁到女方身上（3/3）：「Don't even know she's bout to wreck someone」、「And boy, I'm in trouble now / Ain't even tryna get out」。
4. 挪用並扭曲女性自主行樂的象徵：她高唱表達女性自主玩樂、不為男性而活的歌曲，敘事者卻將這一刻重新詮釋為指向自己的浪漫／性暗示與追求劇本的開端，把她「為自己而唱」的行為收編進男性的戀愛敘事（3/3）：「""Girls Just Wanna Have Fun"" at the top of her lungs」、「Oh, and I keep fallin' / And she keeps on singing」、「So come on baby, take me / Down, down, down, yeah」。
僅單獨提及：以帶有佔有意味的措辭「She'll probably be the one that got away」預先框定女性為可得或失去的所有物。",,,✓,,,✓,✓,✓,,,,,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,
Heart Like A Truck,Lainey Wilson,female,I got a heart like a truck / It's been drug through the mud,無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Of A Woman,Summer Walker,female,Only thing that's saving you / Is the heart of a woman,"1. 將「女人的心」本質化為寬容、隱忍、拯救男性的天性，把女性塑造成男人過錯的「救贖者」，並將這種隱忍浪漫化為美德，強化「女性天生就該忍讓包容」的性別刻板印象（3/3）：「Only thing that's saving you / Is the heart of a woman」。
2. 女性敘事者將男方一再犯錯、傷害她的責任歸咎於自己，複製「受害者自責」的典型模式，將關係失衡的過錯內化為女性自身的問題，而非追究過錯方的責任（3/3）：「I put the blame on me for giving you chance after chance」。
3. 把留在不健康關係中的隱忍與「堅強」畫上等號，美化、正常化女性在痛苦關係裡的自我耗損與忍耐，而非離開（3/3）：「In love with you, but can't stand your ways / And I try to be strong / But how much can I take?」。
4. 浪漫化女性的自我犧牲與無底線付出——明知該放手卻宣稱無法離開、永遠選擇對方，將「無法放手」呈現為愛的證明而非需要正視的問題，削弱女性的自主抉擇（3/3）：「Wanna give up on you, but, damn, I know I can't」、「Answer I may never find, but I'll always choose you」。
5. 敘事者一再以情緒為由「放水」、壓抑自我以遷就男方，把「心軟放過」正當化，呈現女性以自我犧牲換取關係延續、關係中情緒勞動與退讓皆由女性單方面承擔的模式（3/3）：「Nigga, check your ego 'cause I left mine at the door / Just because I let it slide」、「Drowning in all my emotions, I'll let you slide in this ocean」。
6. 女性的底線僅止於口頭要求對方發誓，缺乏實質的自主行動；即使唱出離開的意圖，副歌仍回到「女人的心救了你」的框架，讓「揚言離開」淪為空洞威脅，暗示女性終究會回頭原諒，鞏固「男人犯錯、女人買單」的循環（2/3）：「Put your words on your life this time / And I hope your ass ain't lyin'」、「(No, I can't take it no more) / (I'm 'bout to walk out the door) Is the heart of a woman」。",—,—,—,—,—,—,—,—,—,—,—,—,—,,,,✓,,,,,,,✓,,,,,,,,,,,,,,✓,✓,,,,
High Road,Koe Wetzel & Jessie Murph,mixed,"Ima let you cool down while I walk out
Ima take the high road","1. 男方聲部將女方的憤怒描寫為無理取鬧、一意孤行、不可理喻，卻完全不檢視自身行為與責任，複製「女人情緒化、歇斯底里，男人冷靜理性」的性別刻板腳本 (3/3)：「I can tell that you're mad / And I half surprised about that」、「And once it's in your mind only one way you're driving」。
2. 男方以嘲諷、貶低的語言將女方正當的抗議污名化為鬧劇、預言她自取其辱，並以「讓妳冷靜、我先走」把離場包裝成寬容，實為拒絕溝通、使提出質疑者噤聲的貶抑手法 (3/3)：「I don't need a ticket to your shit show / Knock yourself out and hit a new low」、「Ima let you cool down while I walk out」。
3. 女方的反抗被寫成「以出軌報復出軌」，其能動性完全依附於男方的行為而存在，身體與性被工具化為懲罰男人的報復籌碼，而非出於自身主體性、自主選擇離開或追求自身幸福 (3/3)：「If I catch you with her, you gon' catch me with him」、「You think I don't hear about it, you better think again」。
4. 副歌的對稱結構將雙方包裝成「半斤八兩、各打五十大板」的假對稱：女方提出的是具體可歸責的過錯（夜夜酗酒、疑似外遇），男方卻只以模糊的互相攻訐描述衝突，這種對稱稀釋並抹平了女方受害的具體事實與結構性不對等 (3/3)：「You come home smelling like liquor like every other night」對照「It's always who cut first and never who bleeds last」、「Rumors always turn into yelling and fighting」，且女方verse重複男方指責她的句式（「And once it's in my mind only one way I'm driving」），形同接受了對自己的污名。
5. 歌曲提供的所謂出路「high road」，實質內容是以藥物與酒精自我麻痺、隱忍退讓的自傷式逃避，卻被美化為高尚灑脫，把「走出有害關係」偷換成逃避，沒有給予處於受害位置的女方任何真正的自主、力量或解脫 (3/3)：「Ima take the high road / Maybe get stoned / Have a little too much of something terrible」、「You ain't messin' me up like the times before」。
6. 第三方女性只以「her」出現，是無名、無聲的符號與物件，僅作為兩人衝突角力中的背景道具被提及，缺乏主體性 (2/3)：「If I catch you with her」。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,
Hot Girl Bummer,blackbear,male,This that hot girl bummer anthem,"1. 將女性身體物化、化約為性化的身材特徵，以旁觀評鑑口吻談論女性外貌（3/3）：「Every day leg day, she be too thick」。
2. 對女性進行蕩婦羞辱，以嘲弄口吻暗示女性有伴侶仍出軌尋歡、評斷其私生活與性選擇，卻對敘事者自身同樣行為毫無批判，呈現雙重標準（3/3）：「I swear she had a man / But shit hit different when it's Thursday night」。
3. 貶抑女性的外貌管理與社群經營，將其刻板化為虛榮、依賴醫美與買讚維持價值的膚淺形象（3/3）：「That buy your lips and buy your likes」。
4. 以刻板印象嘲弄「派對女孩」形象，藉名牌包符號將女性描繪為失態、濫交、隨意可得的鬧劇角色，供人取笑消費（3/3）：「This that throw up in your Birkin bag」、「Hook up with someone random」。
5. 將心理脆弱的女性工具化為性征服對象與炫耀性攜帶品，以輕蔑稱呼「chick」指稱女性，並把「破碎」的狀態當成可趁虛而入的資源，消費女性的痛苦（3/3）：「I'm pullin' up wit' a emo chick that's broken」。
6. 以陽具與性能力自誇的方式彰顯男子氣概，將性簡化為征服與吹噓的資本，延續厭女式炫耀文化（3/3）：「They can't fit me in a Trojan」、「This that drip, it's more like oceans」。
7. 挪用「hot girl」這一原屬女性自我賦權的語彙，接上「bummer」加以反轉嘲弄，且通篇搭配貶抑女性的內容，使該語彙淪為譏諷與消遣女性群像的標籤，掏空其原有的自主意涵（3/3）：「This that hot girl bummer anthem」、「Turn it up and throw a tantrum」。",✓,,,,✓,✓,✓,,,,,,✓,—,—,—,—,—,—,—,—,—,—,—,—,—,—,✓,✓,,,,,,,,,,,,,,✓
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",mixed,"Real hot girl shit, ayy, I got one or two baes (Woah, woah)
I'm a hot girl, so you know ain't shit stoppin' (Hey)
college girl, but a freak on the weekend (On the weekend)","1. 男性聲部展現對女性身體的當然權利與性征服心態：女性被化約為必須「上」的對象，其意願完全缺席，「it's a must that I hit」把發生性關係說成男方單方面的必然，抹除女性的同意與能動性。（3/3）引文：「She a big ol' freak, it's a must that I hit」
2. 男性聲部以自身性器為中心自誇，將性關係化約為評分與戰績炫耀的物化交易，並以貶抑稱謂「bitch」概括女性，價值敘事完全以男性性能力為軸。（3/3）引文：「Real ass nigga, give a fuck 'bout a bitch / It is what it is, this some five star dick」
3. 歌曲開頭以玩笑口吻引述並複誦一名男性要女性閉嘴的話語，將「男性噤聲女性」當成趣味哏帶過，實質淡化了對女性發言權的壓制。（2/3）引文：「(What Juicy say? He be like, ""Shut the fuck up"")」
4. 複製「聖女／蕩婦」二分的刻板框架：轉折詞「but」暗示受高等教育的女性與性自主的女性是彼此矛盾的身分，彷彿「大學女生」享受性即是例外或反差。（2/3）引文：「Look, college girl, but a freak on the weekend」
5. 女性的力量與選擇權被建立在「性感／可被慾望」之上，外貌吸引力成為權力來源，仍是以男性凝視為前提的賦權；隱含不夠「hot」的女性便不在此賦權敘事之內。（3/3）引文：「Got a whole lot of options 'cause you know a bitch poppin'」、「I'm a hot girl, so you know ain't shit stoppin'」
6. 女性之間以男性為中介的比較與貶低：對方新伴侶以所有格與「bitch」貶稱指涉、被描述為自己的仿冒品並當作嘲弄的笑料，且引導女性以「誰更辣」相互競逐。（3/3）引文：「'Cause even in your new bitch, I can see a lot of me / And honestly I'm honored 'cause that shit be comedy」、「Who a hotter B? Who got a lot of D?」
僅單獨提及：女性自主的敘事仍以男性及其性器為衡量與選擇的座標（「Should I take your love? Should I take that dick?」），賦權範圍被限定在「接不接受男人給的東西」。",,,,,,,,,,,,,✓,,,✓,,,,,✓,,,,,,,✓,,,,,✓,,✓,✓,,,,,✓,✓,✓
Hot To Go!,Chappell Roan,female,"Who can blame a girl? Call me hot, not pretty",僅單獨提及：全曲將女性自我物化為可「外帶」消費的食品商品、暗示女性性吸引力有「保鮮期限」須趁熱被取用、女性創作才能被縮減為換取慾望對象青睞與性關注的工具、自我價值高度依附於他者的凝視與觸碰、以「hot」取代「pretty」的自我定位仍未脫離以外貌評價女性的框架。,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houdini,Dua Lipa,female,"Maybe you could cause a girl to change her ways
Prove you got the right to please me",僅單獨提及：以「追捕獵物」框架將女性設定為需被男性抓住的對象、複製男追女逃的性別腳本；「對的男人能改變／馴服女人」的迷思，暗示女性自主僅是等待被正確男性終結的暫時狀態並以「a girl」泛化為通則；將女性的自我價值與魅力繫於男性的需要與慾望確認，而非自身主體性。,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",female,"Heels, nails, blade, mascara
Huntrix don't miss
Na-na-na-na, locked and loaded, I was born for this",無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Like It,"Cardi B, Bad Bunny & J Balvin",mixed,"Bad bitch make him nervous
Bad bitch make him nervous / I said I like it like that
I run this shit like cardio
They call me Cardi Bardi, banging body / Spicy mami, hot tamale","1. 男聲段落將不同國籍的女性依序羅列、比較，把女性化約為可供挑選享用的性對象與類型商品，其價值僅限縮在口音、臀部與性服務上，屬典型的物化與異國情調化，女性沒有名字、沒有主體性，只是按產地分類的性資源（3/3）：「Me gustan boricuas, me gustan cubanas / Me gusta el acento de las colombianas」、「Como mueve el culo la dominicana」、「Lo rico que me chingan las venezolanas」。
2. 男聲段落把女性描述為附屬於另一名男性的所有物（jeva），並以「你的女人」看到我就傾倒作為男性之間較勁的戰利品與炫耀籌碼，女性的反應只用來證明說話者的男性魅力並羞辱對手（3/3）：「Tu jeva me vio y se fue de pecho como Jimmy Snuka」。
3. 女聲段落雖屬自我賦權的表述，卻多次以「bitch」貶稱其他女性，並以壓過其他女性作為炫耀方式，複製厭女詞彙並強化女性彼此敵對、互相踩踏的框架（3/3）：「Flexing on bitches as hard as I can」、「Told that bitch I'm sorry, though」、「Where's my pen, bitch I'm signin'」。
4. 男聲段落結尾以「看的人受苦、摸的人享受」的框架談論女性身體，把（暗示為女性身體的）「那個東西」（cosa）描述為供男性觀看與觸碰取樂的客體，延續男性凝視的邏輯（3/3）：「En la cosa, mami en la cosa (cosa, cosa) / El quien mira sufre y el que toca goza (goza, goza)」。
5. 副歌以「壞女人」的性魅力令男性緊張、產生反應作為自我定位與價值證明，即使出自女性之口，仍部分將女性魅力的衡量標準錨定在男性的目光與反應上（2/3）：「Bad bitch make him nervous / I said I like it like that」。
僅單獨提及：女聲段落接受並複述帶有種族化、異國情調化的性感標籤，並以另一族裔女性作為「性感程度」的比較基準，把不同族裔女性的身體放進同一套供人評比的量尺（「They call me Cardi Bardi, banging body / Spicy mami, hot tamale / Hotter than a Somali」）。",✓,,,,,,,,,,,,✓,✓,,,,,,,✓,,,,,,,,✓,,✓,✓,,,✓,,,,,,,✓,
IDGAF,Dua Lipa,female,So I cut you off / I don't need your love,無,—,—,—,—,—,—,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In My Feelings,Drake,male,"I need that black card and the code to the safe
Two bad bitches and we kissin' in the wraith","1. 將女性化約為身體部位與性功能的物化描寫：男聲段落通篇以命令句要求女性身體供其取用，以「屁股」指代並召喚女性，並將「愛」與身體支配直接綁定。（3/3）引文：「Bring that ass, bring that ass, bring that ass back!」、「Clap that ass, clap-clap that ass!」、「Clap that ass, you're the only one I love」。
2. 以性征服炫耀男性氣概、把女性當作可從其伴侶處奪取的性戰利品：以「打中／不會失手」的狩獵語彙描述性行為，女性意願完全缺席，只是男性之間較量性能力的標的。（3/3）引文：「Shawty say the nigga that she with can't hit / But shawty, I'ma hit it, hit it like I can't miss」。
3. 男性作為經濟供養者、女性花費被恩賜化的貶抑：「像是妳自己賺的一樣」暗示錢並非她所賺、其消費是男方恩准的施捨，將女性置於經濟依附位置，複製男性掌握經濟權力的傳統性別框架。（3/3）引文：「And when I take you shopping you spend it like you earned it」。
4. 以完全相同的誓詞式逼問輪流套用在多位女性身上，把女性當成可替換的名單成員，並單方面要求女性絕對忠誠與永不離開，忠誠義務僅加諸女性、未見對等的承諾結構。（3/3）引文：「Kiki, do you love me? Are you riding? / Say you'll never ever leave from beside me」、「KB, do you love me? Are you riding?」、「'Resha, do you love me? Are you riding?」、「JT, do you love me? Are you riding?」。
5. 以「認識的女人很多」作為評價個別女性的基準：她的「特別」建立在說話者閱女無數的比較之上，女性整體被放進一個供男性品評、汰選的集合之中。（3/3）引文：「I know you special girl cause I know too many」。
6. 女聲段落雖展現主動與議價姿態，其自我賦權仍被框限在「以性換取男性財富」的交易腳本內：女性提供的性服務與男性的「淨值」直接對價，權力來源仍繫於男性錢包，複製女性須依附男性資源的刻板結構；同時沿用「bitch」自稱，在以男性凝視為主軸的文本中仍強化該詞對女性的標籤。（3/3）引文：「I need that black card and the code to the safe」、「I show him how that neck work / Fuck that Netflix and chill, what's your net-net-net worth?」、「Two bad bitches and we kissin' in the wraith」。
7. 結尾的女性口白被寫成只為攀附男性名人光環、藉合照補救自己社群形象的角色，把女性描繪成瑣碎虛榮、依賴男性背書的形象。（2/3）引文：「I don't even care, I need a photo with Drake / Because my Instagram is weak as fuck」。",✓,✓,,✓,,,,,,✓,✓,,✓,—,—,—,—,—,—,—,—,—,—,—,—,—,—,✓,✓,✓,✓,✓,,✓,,,,,,,,,
